MODS;number of pages;number of words;number of articles;words per article;number of independent articles;words per independent article;characters per independent article;number of independent articles with author information;number of articles in sections;words per article in sections;characters per article in sections
../metadata/oclc_4770057679-i_87.MODS.xml;88;27891;18;1549.5;6;3958;17863.833333333332;1;12;346.0833333333333;1600.6666666666667
../metadata/oclc_4770057679-i_88.MODS.xml;80;25651;46;557.6304347826087;5;3368.8;15682.6;1;41;215.6341463414634;992.1463414634146
../metadata/oclc_4770057679-i_89.MODS.xml;80;25770;31;831.2903225806451;8;2577.75;12057.875;2;23;224.82608695652175;1033.9130434782608
../metadata/oclc_4770057679-i_9.MODS.xml;1;18960;42;451.42857142857144;13;1014;4753.461538461538;3;29;226.10344827586206;1014.6206896551724
../metadata/oclc_4770057679-i_90.MODS.xml;81;23640;28;844.2857142857143;10;1980;9190.7;4;18;214.5;989.9444444444445
../metadata/oclc_4770057679-i_91.MODS.xml;80;23842;33;722.4848484848485;8;2389.625;11184.625;4;25;187.44;853.68
../metadata/oclc_4770057679-i_92.MODS.xml;81;22288;27;825.4814814814815;9;2063.222222222222;9568.444444444445;5;18;207.66666666666666;949.9444444444445
../metadata/oclc_4770057679-i_93.MODS.xml;80;23534;15;1568.9333333333334;10;1855.2;9061.8;4;5;997.2;4691
../metadata/oclc_4770057679-i_94.MODS.xml;80;22630;20;1131.5;9;2291.8888888888887;10462.777777777777;5;11;179.63636363636363;810.6363636363636
../metadata/oclc_4770057679-i_95.MODS.xml;9;27161;25;1086.44;14;1654.7142857142858;7624.642857142857;5;11;364.3636363636364;1754.4545454545455
../metadata/oclc_4770057679-i_96.MODS.xml;0;26427;14;1887.642857142857;11;2146.090909090909;9769;9;3;941;4495
